time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_loss,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
51,185310,200,325,-3.251836061477661,-3.0687952041625977,0.00014672430163410125,0.00161318713799119,144,0.0014201864833012223,,
52,186588,203,325,-3.258709192276001,-4.986464977264404,0.00014565988706211584,0.009501724503934383,145,0.001399658853188157,,
53,187866,207,325,-3.2488901615142822,-4.933851718902588,0.00014459547249013043,0.00985646527260542,146,0.0014719597529619932,,
54,189144,211,325,-3.2488834857940674,-6.808892250061035,0.00014353105791814502,-0.0008621991728432477,147,0.001626905519515276,,
55,190422,215,325,-3.256241798400879,-12.528665542602539,0.0001424666433461596,0.01842314936220646,148,0.001317103742621839,,
56,191700,219,325,-3.261141300201416,-0.2067108154296875,0.00014140222877417422,0.014749732799828053,149,0.003821271937340498,,
57,192978,223,325,-3.265418767929077,-2.8543386459350586,0.0001403378142021888,0.00815916620194912,150,0.0019090637797489762,,
58,194256,227,326,-3.262850046157837,-3.1893529891967773,0.0001392733996302034,0.016788264736533165,151,0.001964135328307748,,
59,195534,231,326,-3.2649755477905273,-0.6239515542984009,0.00013820898505821798,0.0022499789483845234,152,0.004280121065676212,,
60,196812,235,326,-3.2680983543395996,-0.15555810928344727,0.00013714457048623257,-0.003973344340920448,153,0.007895826362073421,,
61,198090,239,326,-3.2679226398468018,-1.6822867393493652,0.00013608015591424716,-0.00686735799536109,154,0.002139568794518709,,
62,199368,243,326,-3.2623023986816406,-3.1003494262695312,0.00013501574134226177,0.00865118857473135,155,0.0019039931939914823,,
63,200646,247,325,-3.2671310901641846,-2.904390811920166,0.00013395132677027636,0.007432130165398121,156,0.0014628638746216893,,
64,201924,251,324,-3.2706148624420166,-2.799710988998413,0.00013288691219829094,0.0009072412503883243,157,0.0016818136209622025,,
65,203202,255,325,-3.271608829498291,-7.679997444152832,0.00013182249762630553,0.008050533011555672,158,0.0019485334632918239,,
66,204480,259,325,-3.273263931274414,-0.08333432674407959,0.00013075808305432012,0.001585440943017602,159,0.008468770422041416,,
67,205758,262,325,-3.269470453262329,-2.228754758834839,0.00012969366848233473,-0.021228056401014328,160,0.0030422755517065525,,
68,207036,266,326,-3.2671990394592285,-4.275057315826416,0.00012862925391034932,0.0010978507343679667,161,0.001954854466021061,,
69,208314,270,326,-3.266456365585327,-6.573344707489014,0.00012756483933836388,-0.001575953559949994,162,0.001794664654880762,,
70,209592,274,326,-3.27266263961792,-3.853647232055664,0.0001265004247663785,-0.005015786737203598,163,0.0019194837659597397,,
71,210870,278,326,-3.267302989959717,-4.3513665199279785,0.00012543601019439308,-0.00042354929610155523,164,0.001523614046163857,,
72,212148,281,326,-3.2642078399658203,-6.973533630371094,0.00012437159562240767,0.008064279332756996,165,0.0014648486394435167,,
73,213426,285,326,-3.2680602073669434,-13.10383129119873,0.00012330718105042226,-0.011729245074093342,166,0.0018449713243171573,,
74,214704,289,326,-3.2639522552490234,-6.536317348480225,0.00012224276647843687,0.018418820574879646,167,0.0017487804871052504,,
75,215982,293,326,-3.267761468887329,-2.268282890319824,0.00012117835190645146,0.0006531788385473192,168,0.0018173734424635768,,
76,217260,297,326,-3.2671642303466797,-5.819198131561279,0.00012011393733446605,-0.005606858525425196,169,0.0017774845473468304,,
77,218538,301,326,-3.2689971923828125,-0.16430509090423584,0.00011904952276248065,-4.554951374302618e-06,170,0.008460803888738155,,
78,219816,305,326,-3.2691850662231445,-2.112643003463745,0.00011798510819049523,0.005065589677542448,171,0.002743910066783428,,
79,221094,309,326,-3.267148733139038,-0.39080679416656494,0.00011692069361850984,-0.0033976624254137278,172,0.003492234507575631,,
80,222372,313,326,-3.2643771171569824,-4.3153791427612305,0.00011585627904652441,0.001418583793565631,173,0.0019727565813809633,,
81,223650,317,326,-3.2696709632873535,-8.093658447265625,0.000114791864474539,-0.0009080845047719777,174,0.0014209529617801309,,
82,224928,320,326,-3.2680881023406982,-10.60400104522705,0.0001137274499025536,-0.002733178436756134,175,0.001343484385870397,,
83,226206,324,326,-3.2695319652557373,-10.079578399658203,0.00011266303533056818,0.0025398063007742167,176,0.001085822470486164,,
84,227484,328,326,-3.2683582305908203,-2.797499895095825,0.00011159862075858279,0.0012554115382954478,177,0.0015708127757534385,,
85,228762,332,326,-3.2675693035125732,-7.365004539489746,0.00011053420618659737,-0.004570655059069395,178,0.001878053299151361,,
86,230040,336,326,-3.2671008110046387,-8.038615226745605,0.00010946979161461197,-0.013718734495341778,179,0.0014890576712787151,,
87,231318,340,326,-3.262573719024658,-10.886935234069824,0.00010840537704262656,0.014966367743909359,180,0.001436397316865623,,
88,232596,344,326,-3.2685348987579346,-9.162280082702637,0.00010734096247064116,0.018065618351101875,181,0.0013999049551784992,,
89,233874,348,326,-3.270963191986084,-8.71774959564209,0.00010627654789865575,-0.010745348408818245,182,0.0014119802508503199,,
90,235152,352,326,-3.262343406677246,-6.280210018157959,0.00010521213332667032,-0.018637660890817642,183,0.0017153270309790969,,
91,236430,355,326,-3.2682857513427734,-9.93238353729248,0.00010414771875468492,-0.005917401518672705,184,0.0012691720621660352,,
92,237708,359,326,-3.2603840827941895,-4.9059062004089355,0.00010308330418269951,-0.0025914779398590326,185,0.0014322246424853802,,
93,238986,363,326,-3.2671620845794678,-8.301858901977539,0.00010201888961071411,0.005022893659770489,186,0.0011125447927042842,,
94,240264,367,326,-3.2696917057037354,-8.969572067260742,0.0001009544750387287,-0.0019508982077240944,187,0.0011302281636744738,,
1,241542,3,326,-3.261169195175171,-16.460487365722656,9.98900604667433e-05,0.0014537040842697024,188,0.0012218784540891647,,
2,242820,7,326,-3.2618699073791504,-9.282618522644043,0.0001659083338884818,0.002827693475410342,189,0.0016246194718405604,,
3,244098,11,326,-3.266630172729492,-3.5191287994384766,0.000165198854173606,-0.002971867099404335,190,0.0014878676738590002,,
4,245376,15,326,-3.2626523971557617,-4.856680870056152,0.00016448937445873028,0.002573923673480749,191,0.001558175077661872,,
5,246654,19,326,-3.268442392349243,-6.024042129516602,0.0001637798947438545,0.01048365980386734,192,0.0014784404775127769,,
6,247932,23,326,-3.2692198753356934,-7.830684661865234,0.00016307041502897874,-0.006657670252025127,193,0.0016682337736710906,,
7,249210,27,326,-3.2681541442871094,-3.2458677291870117,0.00016236093531410298,-0.0024487401824444532,194,0.001659779460169375,,
8,250488,31,320,-3.266388416290283,-3.6672682762145996,0.00016165145559922722,-0.009487999603152275,195,0.001723953988403082,,
9,251766,36,318,-3.2630674839019775,-3.566218376159668,0.0001609419758843515,-0.006514180451631546,196,0.0019490288104861975,,
